week,period,category,reg_hrs,reg_pay,ot_pay,total_pay,pct_sales,pct_food_sales
2.1.26,last_year,Cook,375,5894,0,5894,3.50,7.26
2.1.26,last_year,Prep,173,3227,33,3261,1.94,4.01
2.1.26,last_year,Dish,178,2612,0,2612,1.55,3.22
2.1.26,last_year,Salary,0,8895,0,8895,5.29,10.95
2.1.26,last_year,BOH TOTAL,725,20627,33,20661,12.28,25.43
2.1.26,report_week,Cook,338,5346,0,5346,4.15,8.33
2.1.26,report_week,Prep,114,2241,0,2241,1.74,3.49
2.1.26,report_week,Dish,80,759,0,759,0.59,1.18
2.1.26,report_week,Salary,,8168,,8168,6.35,12.72
2.1.26,report_week,BOH TOTAL,532,16513,0,16513,12.83,25.72
2.8.26,last_year,Cook,401,6387,0,6387,3.23,6.59
2.8.26,last_year,Prep,158,2998,16,3014,1.52,3.11
2.8.26,last_year,Dish,136,1778,34,1812,0.92,1.87
2.8.26,last_year,Salary,0,10395,0,10395,5.26,10.72
2.8.26,last_year,BOH TOTAL,694,21558,50,21608,10.93,22.28
2.8.26,report_week,Cook,353,5676,0,5676,4.14,8.50
2.8.26,report_week,Prep,120,2353,0,2353,1.72,3.52
2.8.26,report_week,Dish,79,749,0,749,0.55,1.12
2.8.26,report_week,Salary,,8961,,8961,6.53,13.43
2.8.26,report_week,BOH TOTAL,552,17740,0,17740,12.93,26.58
2.15.26,last_year,Cook,389,6980,0,6980,3.66,7.20
2.15.26,last_year,Prep,160,3037,64,3102,1.63,3.20
2.15.26,last_year,Dish,153,2104,0,2104,1.10,2.17
2.15.26,last_year,Salary,0,11395,0,11395,5.97,11.75
2.15.26,last_year,BOH TOTAL,702,23516,65,23581,12.35,24.32
2.15.26,report_week,Cook,350,5579,677,6256,4.42,8.97
2.15.26,report_week,Prep,120,2351,19,2370,1.67,3.40
2.15.26,report_week,Dish,80,760,56,816,0.58,1.17
2.15.26,report_week,Salary,,9248,,9248,6.53,13.25
2.15.26,report_week,BOH TOTAL,550,17938,753,18691,13.20,26.79
2.22.26,last_year,Cook,378,6481,0,6481,2.95,6.15
2.22.26,last_year,Prep,180,3379,0,3379,1.54,3.21
2.22.26,last_year,Dish,117,1414,0,1414,0.64,1.34
2.22.26,last_year,Salary,0,11395,0,11395,5.18,10.81
2.22.26,last_year,BOH TOTAL,675,22668,0,22668,10.31,21.51
2.22.26,report_week,Cook,360,5828,0,5828,3.86,7.68
2.22.26,report_week,Prep,112,2190,0,2190,1.45,2.89
2.22.26,report_week,Dish,71,586,0,586,0.39,0.77
2.22.26,report_week,Salary,,9798,,9798,6.49,12.91
2.22.26,report_week,BOH TOTAL,543,18401,0,18401,12.19,24.25
3.1.26,last_year,Cook,420,6786,0,6786,2.76,6.44
3.1.26,last_year,Prep,194,3614,200,3814,1.55,3.62
3.1.26,last_year,Dish,116,1405,0,1405,0.57,1.33
3.1.26,last_year,Salary,0,12050,0,12050,4.90,11.43
3.1.26,last_year,BOH TOTAL,730,23855,200,24055,9.79,22.83
3.1.26,report_week,Cook,362,5867,0,5867,3.51,7.73
3.1.26,report_week,Prep,103,2004,42,2046,1.22,2.70
3.1.26,report_week,Dish,111,1291,169,1460,0.87,1.92
3.1.26,report_week,Salary,0,10248,0,10248,6.12,13.51
3.1.26,report_week,BOH TOTAL,576,19410,210,19621,11.73,25.86
3.8.26,last_year,Cook,415,6696,0,6696,4.19,7.24
3.8.26,last_year,Prep,160,3555,0,3555,2.22,3.84
3.8.26,last_year,Dish,116,1405,0,1405,0.88,1.52
3.8.26,last_year,Salary,0,12050,0,12050,7.53,13.03
3.8.26,last_year,BOH TOTAL,691,23706,0,23706,14.82,25.63
3.8.26,report_week,Cook,374,6130,286,6416,3.16,6.92
3.8.26,report_week,Prep,80,1517,0,1517,0.75,1.64
3.8.26,report_week,Dish,115,1362,0,1362,0.67,1.47
3.8.26,report_week,Salary,0,10248,0,10248,5.05,11.05
3.8.26,report_week,BOH TOTAL,569,19257,286,19543,9.62,21.07
3.15.26,last_year,Cook,400,6377,399,6776,4.27,7.57
3.15.26,last_year,Prep,156,3475,0,3475,2.19,3.88
3.15.26,last_year,Dish,116,1409,0,1409,0.89,1.58
3.15.26,last_year,Salary,0,12983,0,12983,8.19,14.51
3.15.26,last_year,BOH TOTAL,672,24244,399,24643,15.54,27.54
3.15.26,report_week,Cook,368,6081,0,6081,4.78,7.66
3.15.26,report_week,Prep,80,1516,413,1929,1.52,2.43
3.15.26,report_week,Dish,116,1374,0,1374,1.08,1.73
3.15.26,report_week,Salary,0,10248,0,10248,8.05,12.90
3.15.26,report_week,BOH TOTAL,564,19219,413,19632,15.42,24.72
3.22.26,last_year,Cook,421,6805,0,6805,3.01,6.24
3.22.26,last_year,Prep,183,3941,25,3966,1.76,3.64
3.22.26,last_year,Dish,117,1418,60,1478,0.65,1.36
3.22.26,last_year,Salary,0,13683,0,13683,6.06,12.55
3.22.26,last_year,BOH TOTAL,721,25847,86,25932,11.49,23.79
3.22.26,report_week,Cook,397,6541,0,6541,5.74,9.51
3.22.26,report_week,Prep,80,1520,244,1764,1.55,2.57
3.22.26,report_week,Dish,133,1711,0,1711,1.50,2.49
3.22.26,report_week,Salary,0,9348,0,9348,8.21,13.59
3.22.26,report_week,BOH TOTAL,610,19120,244,19364,17.00,28.16
3.29.26,last_year,Cook,398,6454,0,6454,2.78,5.92
3.29.26,last_year,Prep,80,1639,25,1664,0.72,1.53
3.29.26,last_year,Dish,120,1517,9,1526,0.66,1.40
3.29.26,last_year,Salary,0,14183,0,14183,6.12,13.01
3.29.26,last_year,BOH TOTAL,598,23793,34,23826,10.28,21.86
3.29.26,report_week,Cook,446,7657,31,7688,4.47,11.18
3.29.26,report_week,Prep,80,1518,244,1762,1.02,2.56
3.29.26,report_week,Dish,128,1614,323,1937,1.13,2.82
3.29.26,report_week,Salary,0,9348,0,9348,5.43,13.59
3.29.26,report_week,BOH TOTAL,654,20137,598,20735,12.04,30.15
4.5.26,last_year,Cook,403,6552,0,6552,3.27,6.46
4.5.26,last_year,Prep,80,1638,25,1663,0.83,1.64
4.5.26,last_year,Dish,159,2190,9,2199,1.10,2.17
4.5.26,last_year,Salary,0,14083,0,14083,7.03,13.89
4.5.26,last_year,BOH TOTAL,642,24463,34,24497,12.22,24.15
4.5.26,report_week,Cook,408,6829,0,6829,4.89,9.42
4.5.26,report_week,Prep,80,1520,360,1880,1.35,2.59
4.5.26,report_week,Dish,121,1483,0,1483,1.06,2.05
4.5.26,report_week,Salary,0,8848,0,8848,6.34,12.21
4.5.26,report_week,BOH TOTAL,609,18680,360,19040,13.64,26.27
4.12.26,last_year,Cook,408,6663,0,6663,3.10,6.57
4.12.26,last_year,Prep,80,1634,0,1634,0.76,1.61
4.12.26,last_year,Dish,160,2197,0,2197,1.02,2.17
4.12.26,last_year,Salary,0,15383,0,15383,7.15,15.17
4.12.26,last_year,BOH TOTAL,648,25877,0,25877,12.03,25.52
4.12.26,report_week,Cook,134,6430,0,6430,4.18,7.63
4.12.26,report_week,Prep,80,1519,0,1519,0.99,1.80
4.12.26,report_week,Dish,134,1736,0,1736,1.13,2.06
4.12.26,report_week,Salary,0,11148,0,11148,7.25,13.22
4.12.26,report_week,BOH TOTAL,348,20833,0,20833,13.54,24.71
4.19.26,last_year,Cook,403,6546,0,6546,3.16,6.50
4.19.26,last_year,Prep,80,1638,0,1638,0.79,1.63
4.19.26,last_year,Dish,149,1996,0,1996,0.96,1.98
4.19.26,last_year,Salary,0,15383,0,15383,7.43,15.27
4.19.26,last_year,BOH TOTAL,632,25563,0,25563,12.35,25.38
4.19.26,report_week,Cook,418,7087,0,7087,4.27,7.15
4.19.26,report_week,Prep,80,1511,0,1511,0.91,1.52
4.19.26,report_week,Dish,141,1849,0,1849,1.11,1.86
4.19.26,report_week,Salary,0,9868,0,9868,5.94,9.95
4.19.26,report_week,BOH TOTAL,639,20315,0,20315,12.23,20.49
4.26.26,last_year,Cook,397,6433,0,6433,2.69,5.44
4.26.26,last_year,Prep,80,1640,308,1948,0.81,1.65
4.26.26,last_year,Dish,150,2018,0,2018,0.84,1.71
4.26.26,last_year,Salary,0,13395,0,13395,5.60,11.32
4.26.26,last_year,BOH TOTAL,627,23486,308,23794,9.95,20.12
4.26.26,report_week,Cook,425,6595,90,6685,3.64,7.07
4.26.26,report_week,Prep,80,1515,1,1516,0.83,1.60
4.26.26,report_week,Dish,131,1657,1657,3314,1.81,3.50
4.26.26,report_week,Salary,0,9512,0,9512,5.18,10.06
4.26.26,report_week,BOH TOTAL,636,19279,1748,21027,11.46,22.23
5.3.26,last_year,Cook,485,6097,986,7083,2.61,5.49
5.3.26,last_year,Prep,122,1640,1338,2978,1.10,2.31
5.3.26,last_year,Dish,186,2145,0,2145,0.79,1.66
5.3.26,last_year,Salary,0,14195,0,14195,5.23,11.01
5.3.26,last_year,BOH TOTAL,793,24077,2324,26401,9.72,20.48
5.3.26,report_week,Cook,474,6576,25,6601,3.60,6.98
5.3.26,report_week,Prep,120,2273,0,2273,1.24,2.40
5.3.26,report_week,Dish,172,1972,0,1972,1.07,2.08
5.3.26,report_week,Salary,0,9268,0,9268,5.05,9.80
5.3.26,report_week,BOH TOTAL,766,20089,25,20114,10.96,21.26
5.17.26,last_year,Cook,495,7071,0,7071,3.88,7.52
5.17.26,last_year,Prep,80,1637,0,1637,0.90,1.74
5.17.26,last_year,Dish,159,1678,0,1678,0.92,1.78
5.17.26,last_year,Salary,0,12995,0,12995,7.13,13.82
5.17.26,last_year,BOH TOTAL,734,23381,0,23381,12.82,24.86
5.17.26,report_week,Cook,458,7735,0,7735,5.31,9.69
5.17.26,report_week,Prep,80,1559,509,2068,1.42,2.59
5.17.26,report_week,Dish,116,1322,0,1322,0.91,1.66
5.17.26,report_week,Salary,0,12995,0,12995,8.92,16.28
5.17.26,report_week,BOH TOTAL,654,23611,509,24120,16.55,30.21
6.7.26,last_year,Cook,384,6173,0,6173,3.55,6.83
6.7.26,last_year,Prep,80,1555,0,1555,0.89,1.72
6.7.26,last_year,Dish,159,1985,0,1985,1.14,2.19
6.7.26,last_year,Salary,0,14195,0,14195,8.16,15.70
6.7.26,last_year,BOH TOTAL,623,23908,0,23908,13.74,26.44
6.7.26,report_week,Cook,396,5874,0,5874,4.89,8.77
6.7.26,report_week,Prep,80,1555,0,1555,1.29,2.32
6.7.26,report_week,Dish,194,2795,0,2795,2.33,4.18
6.7.26,report_week,Salary,0,0,0,0,0.00,0.00
6.7.26,report_week,BOH TOTAL,670,10224,0,10224,8.51,15.27
6.14.26,last_year,Cook,473,6536,0,6536,3.46,6.80
6.14.26,last_year,Prep,80,1632,0,1632,0.86,1.70
6.14.26,last_year,Dish,138,1258,0,1258,0.67,1.31
6.14.26,last_year,Salary,0,13095,0,13095,6.94,13.63
6.14.26,last_year,BOH TOTAL,691,22521,0,22521,11.94,23.44
6.14.26,report_week,Cook,456,7984,59,8043,5.25,10.70
6.14.26,report_week,Prep,61,1192,0,1192,0.78,1.59
6.14.26,report_week,Dish,137,1323,0,1323,0.86,1.76
6.14.26,report_week,Salary,0,13095,0,13095,8.55,17.41
6.14.26,report_week,BOH TOTAL,654,23594,59,23653,15.45,31.45
6.21.26,last_year,Cook,487,7199,0,7199,3.69,7.26
6.21.26,last_year,Prep,93,1639,400,2039,1.05,2.06
6.21.26,last_year,Expo,0,0,0,0,0.00,0.00
6.21.26,last_year,Dish,160,1696,0,1696,0.87,1.71
6.21.26,last_year,Salary,0,13395,0,13395,6.87,13.50
6.21.26,last_year,BOH TOTAL,740,23929,400,24329,12.48,24.52
6.21.26,report_week,Cook,498,7887,7,7894,5.18,9.83
6.21.26,report_week,Prep,73,1229,286,1515,0.99,1.89
6.21.26,report_week,Expo,58,880,584,1464,0.96,1.82
6.21.26,report_week,Dish,124,1086,0,1086,0.71,1.35
6.21.26,report_week,Salary,0,13395,0,13395,8.79,16.69
6.21.26,report_week,BOH TOTAL,753,24477,877,25354,16.63,31.59
6.28.26,last_year,Cook,476,7219,0,7219,4.02,7.77
6.28.26,last_year,Prep,80,1634,0,1634,0.91,1.76
6.28.26,last_year,Expo,0,0,0,0,0.00,0.00
6.28.26,last_year,Dish,153,1660,0,1660,0.92,1.79
6.28.26,last_year,Salary,0,14008,0,14008,7.80,15.07
6.28.26,last_year,BOH TOTAL,709,24521,0,24521,13.66,26.39
6.28.26,report_week,Cook,498,7887,7,7894,5.68,11.60
6.28.26,report_week,Prep,73,1229,286,1515,1.09,2.23
6.28.26,report_week,Expo,58,880,584,1464,1.05,2.15
6.28.26,report_week,Dish,124,1086,0,1086,0.78,1.60
6.28.26,report_week,Salary,0,14008,0,14008,10.08,20.58
6.28.26,report_week,BOH TOTAL,753,25090,877,25967,18.69,38.16
7.05.26,last_year,Cook,460,5988,327,6315,4.44,7.60
7.05.26,last_year,Prep,80,1639,0,1639,1.15,1.97
7.05.26,last_year,Expo,0,0,0,0,0.00,0.00
7.05.26,last_year,Dish,153,1549,0,1549,1.09,1.86
7.05.26,last_year,Salary,0,12383,0,12383,8.71,14.91
7.05.26,last_year,BOH TOTAL,693,21559,327,21886,15.39,26.35
7.05.26,report_week,Cook,349,5899,7,5906,5.88,9.51
7.05.26,report_week,Prep,62,1221,0,1221,1.22,1.97
7.05.26,report_week,Expo,80,1756,584,2340,2.33,3.77
7.05.26,report_week,Dish,121,1308,0,1308,1.30,2.11
7.05.26,report_week,Salary,0,12383,0,12383,12.33,19.94
7.05.26,report_week,BOH TOTAL,612,22567,591,23158,23.06,37.29
7.12.26,last_year,Cook,452,6105,0,6105,3.62,6.54
7.12.26,last_year,Prep,80,1639,0,1639,0.97,1.76
7.12.26,last_year,Expo,0,0,0,0,0.00,0.00
7.12.26,last_year,Dish,153,1496,0,1496,0.89,1.60
7.12.26,last_year,Salary,0,12615,0,12615,7.47,13.52
7.12.26,last_year,BOH TOTAL,685,21855,0,21855,12.94,23.42
7.12.26,report_week,Cook,360,6417,109,6526,4.89,8.88
7.12.26,report_week,Prep,80,1556,0,1556,1.17,2.12
7.12.26,report_week,Expo,80,1759,0,1759,1.32,2.39
7.12.26,report_week,Dish,127,1370,8,1378,1.03,1.88
7.12.26,report_week,Salary,0,12615,0,12615,9.45,17.17
7.12.26,report_week,BOH TOTAL,647,23717,117,23834,17.85,32.44
7.19.26,last_year,Cook,440,5894,0,5894,3.15,5.84
7.19.26,last_year,Prep,80,1636,0,1636,0.87,1.62
7.19.26,last_year,Expo,0,0,0,0,0.00,0.00
7.19.26,last_year,Dish,160,1633,0,1633,0.87,1.62
7.19.26,last_year,Salary,0,12615,0,12615,6.75,12.49
7.19.26,last_year,BOH TOTAL,680,21778,0,21778,11.65,21.56
7.19.26,report_week,Cook,365,5988,354,6342,4.78,8.63
7.19.26,report_week,Prep,82,1560,71,1631,1.23,2.22
7.19.26,report_week,Expo,79,1749,0,1749,1.32,2.38
7.19.26,report_week,Dish,93,713,0,713,0.54,0.97
7.19.26,report_week,Salary,0,12615,0,12615,9.50,17.17
7.19.26,report_week,BOH TOTAL,619,22625,425,23050,17.36,31.37
7.26.26,last_year,Cook,464,6504,0,6504,3.70,6.94
7.26.26,last_year,Prep,79,1626,0,1626,0.93,1.74
7.26.26,last_year,Expo,0,0,0,0,0.00,0.00
7.26.26,last_year,Dish,193,2185,0,2185,1.24,2.33
7.26.26,last_year,Salary,0,12383,0,12383,7.05,13.22
7.26.26,last_year,BOH TOTAL,736,22698,0,22698,12.92,24.23
7.26.26,report_week,Cook,466,8502,0,8502,5.46,10.84
7.26.26,report_week,Prep,80,1556,0,1556,1.00,1.98
7.26.26,report_week,Expo,80,1758,0,1758,1.13,2.24
7.26.26,report_week,Dish,94,720,93,813,0.52,1.04
7.26.26,report_week,Salary,0,12383,0,12383,7.95,15.78
7.26.26,report_week,BOH TOTAL,720,24919,93,25012,16.06,31.88
8.2.26,last_year,Cook,513,6508,1238,7746,4.90,8.90
8.2.26,last_year,Prep,79,1625,0,1625,1.03,1.87
8.2.26,last_year,Expo,0,0,0,0,0.00,0.00
