week,period,category,reg_hrs,reg_pay,ot_pay,total_pay,pct_sales,pct_food_sales
2.1.26,last_year,BOH,725,11733,33,11766,6.99,14.48
2.1.26,last_year,FOH,1168,7505,0,7505,4.46,
2.1.26,last_year,Training,92,986,0,986,0.59,
2.1.26,last_year,FOH Salary,0,8490,0,8490,5.05,
2.1.26,last_year,BOH Salary,0,8895,0,8895,5.29,10.95
2.1.26,last_year,OTHER,0,1548,0,1548,0.92,
2.1.26,last_year,SUBTOTAL,1985,39156,33,39189,23.29,25.43
2.1.26,last_year,PAYROLL TAX,,7831,7,7838,4.66,
2.1.26,last_year,TOTAL LABOR,,46987,40,47027,27.95,
2.1.26,report_week,BOH,532,8345,0,8345,6.48,13.00
2.1.26,report_week,FOH,932,5814,77,5891,4.58,
2.1.26,report_week,Training,24,348,35,383,0.30,
2.1.26,report_week,FOH Salary,0,6978,0,6978,5.42,
2.1.26,report_week,BOH Salary,0,8168,0,8168,6.35,12.72
2.1.26,report_week,OTHER,0,422,0,422,0.33,
2.1.26,report_week,SUBTOTAL,1488,30076,112,30188,23.45,25.72
2.1.26,report_week,PAYROLL TAX,,6015,22,6038,4.69,
2.1.26,report_week,TOTAL LABOR,,36091,134,36225,28.14,
2.8.26,last_year,BOH,694,11163,50,11213,5.67,11.56
2.8.26,last_year,FOH,1333,8216,0,8216,4.15,
2.8.26,last_year,Training,51,547,0,547,0.28,
2.8.26,last_year,FOH Salary,0,7925,0,7925,4.01,
2.8.26,last_year,BOH Salary,0,10395,0,10395,5.26,10.72
2.8.26,last_year,OTHER,0,1548,0,1548,0.78,
2.8.26,last_year,SUBTOTAL,2078,39794,50,39844,20.15,22.28
2.8.26,last_year,PAYROLL TAX,,7959,10,7969,4.03,
2.8.26,last_year,TOTAL LABOR,,47753,60,47813,24.18,
2.8.26,report_week,BOH,552,8779,0,8779,6.40,13.15
2.8.26,report_week,FOH,949,6637,77,6714,4.90,
2.8.26,report_week,Training,27,298,35,333,0.24,
2.8.26,report_week,FOH Salary,0,6688,0,6688,4.88,
2.8.26,report_week,BOH Salary,0,8961,0,8961,6.53,13.43
2.8.26,report_week,OTHER,0,687,0,687,0.50,
2.8.26,report_week,SUBTOTAL,1528,32049,112,32161,23.45,26.58
2.8.26,report_week,PAYROLL TAX,,6410,22,6432,4.69,
2.8.26,report_week,TOTAL LABOR,,38459,134,38594,28.14,
2.15.26,last_year,BOH,702,12122,65,12186,6.38,12.57
2.15.26,last_year,FOH,1185,7346,77,7423,3.89,
2.15.26,last_year,Training,53,565,0,565,0.30,
2.15.26,last_year,FOH Salary,0,8710,0,8710,4.56,
2.15.26,last_year,BOH Salary,0,11395,0,11395,5.97,11.75
2.15.26,last_year,OTHER,0,1548,0,1548,0.81,
2.15.26,last_year,SUBTOTAL,1940,41685,142,41827,21.91,24.32
2.15.26,last_year,PAYROLL TAX,,8337,28,8365,4.38,
2.15.26,last_year,TOTAL LABOR,,50023,170,50193,26.30,
