week,period,category,reg_hrs,reg_pay,ot_pay,total_pay,pct_sales,pct_food_sales
2.1.26,last_year,Bonuses,0,0,0,0,0.00,
2.1.26,last_year,Comp,0,2180,0,2180,1.30,
2.1.26,last_year,Salary,0,6310,,6310,3.75,
2.1.26,last_year,MGMT TOTAL,0,8490,0,8490,5.05,
2.1.26,report_week,Bonuses,0,0,0,0,0.00,
2.1.26,report_week,Comp,,1000,0,1000,0.78,
2.1.26,report_week,Salary,0,5978,,5978,4.64,
2.1.26,report_week,MGMT TOTAL,0,6978,0,6978,5.42,
2.8.26,last_year,Bonuses,0,0,0,0,0.00,
2.8.26,last_year,Comp,0,1615,0,1615,0.82,
2.8.26,last_year,Salary,0,6310,,6310,3.19,
2.8.26,last_year,MGMT TOTAL,0,7925,0,7925,4.01,
2.8.26,report_week,Bonuses,0,0,0,0,0.00,
2.8.26,report_week,Comp,,800,0,800,0.58,
2.8.26,report_week,Salary,0,5888,,5888,4.29,
2.8.26,report_week,MGMT TOTAL,0,6688,0,6688,4.88,
2.15.26,last_year,Bonuses,0,0,0,0,0.00,
2.15.26,last_year,Comp,0,2400,0,2400,1.26,
2.15.26,last_year,Salary,0,6310,,6310,3.31,
2.15.26,last_year,MGMT TOTAL,0,8710,0,8710,4.56,
2.15.26,report_week,Bonuses,0,0,0,0,0.00,
2.15.26,report_week,Comp,,800,0,800,0.56,
2.15.26,report_week,Salary,0,5888,,5888,4.16,
2.15.26,report_week,MGMT TOTAL,0,6688,0,6688,4.72,
2.22.26,last_year,Bonuses,0,0,0,0,0.00,
2.22.26,last_year,Comp,0,954,0,954,0.43,
2.22.26,last_year,Salary,0,5110,,5110,2.32,
2.22.26,last_year,MGMT TOTAL,0,6064,0,6064,2.76,
2.22.26,report_week,Bonuses,0,0,0,0,0.00,
2.22.26,report_week,Comp,,200,0,200,0.13,
2.22.26,report_week,Salary,0,5888,,5888,3.90,
2.22.26,report_week,MGMT TOTAL,0,6088,0,6088,4.03,
3.1.26,last_year,Bonuses,0,0,0,0,0.00,
3.1.26,last_year,Comp,0,1069,0,1069,0.44,
3.1.26,last_year,Salary,0,5110,,5110,2.08,
3.1.26,last_year,MGMT TOTAL,0,6179,0,6179,2.51,
3.1.26,report_week,Bonuses,0,0,0,0,0.00,
3.1.26,report_week,Comp,,800,0,800,0.48,
3.1.26,report_week,Salary,0,6139,,6139,3.67,
3.1.26,report_week,MGMT TOTAL,0,6939,0,6939,4.15,
3.8.26,last_year,Bonuses,0,0,0,0,0.00,
3.8.26,last_year,Comp,0,1069,0,1069,0.67,
3.8.26,last_year,Salary,0,5110,,5110,3.20,
3.8.26,last_year,MGMT TOTAL,0,6179,0,6179,3.86,
3.8.26,report_week,Bonuses,0,0,0,0,0.00,
3.8.26,report_week,Comp,,800,0,800,0.39,
3.8.26,report_week,Salary,0,6227,,6227,3.07,
3.8.26,report_week,MGMT TOTAL,0,7027,0,7027,3.46,
3.15.26,last_year,Bonuses,0,0,0,0,0.00,
3.15.26,last_year,Comp,0,1800,0,1800,1.13,
3.15.26,last_year,Salary,0,5110,,5110,3.22,
3.15.26,last_year,MGMT TOTAL,0,6910,0,6910,4.36,
3.15.26,report_week,Bonuses,0,0,0,0,0.00,
3.15.26,report_week,Comp,,800,0,800,0.63,
3.15.26,report_week,Salary,0,5377,,5377,4.22,
3.15.26,report_week,MGMT TOTAL,0,6177,0,6177,4.85,
3.22.26,last_year,Bonuses,0,0,0,0,0.00,
3.22.26,last_year,Comp,0,1800,0,1800,0.80,
3.22.26,last_year,Salary,0,5324,,5324,2.36,
3.22.26,last_year,MGMT TOTAL,0,7124,0,7124,3.16,
3.22.26,report_week,Bonuses,0,0,0,0,0.00,
3.22.26,report_week,Comp,,1200,0,1200,1.05,
3.22.26,report_week,Salary,0,5276,,5276,4.63,
3.22.26,report_week,MGMT TOTAL,0,6476,0,6476,5.68,
3.29.26,last_year,Bonuses,0,0,0,0,0.00,
3.29.26,last_year,Comp,0,2480,0,2480,1.07,
3.29.26,last_year,Salary,0,4724,,4724,2.04,
3.29.26,last_year,MGMT TOTAL,0,7204,0,7204,3.11,
3.29.26,report_week,Bonuses,0,0,0,0,0.00,
3.29.26,report_week,Comp,,1200,0,1200,0.70,
3.29.26,report_week,Salary,0,5538,,5538,3.22,
3.29.26,report_week,MGMT TOTAL,0,6738,0,6738,3.91,
4.5.26,last_year,Bonuses,0,0,0,0,0.00,
4.5.26,last_year,Comp,0,2480,0,2480,1.24,
4.5.26,last_year,Salary,0,4724,,4724,2.36,
4.5.26,last_year,MGMT TOTAL,0,7204,0,7204,3.59,
4.5.26,report_week,Bonuses,0,0,0,0,0.00,
4.5.26,report_week,Comp,,1200,0,1200,0.86,
4.5.26,report_week,Salary,0,5225,,5225,3.74,
4.5.26,report_week,MGMT TOTAL,0,6425,0,6425,4.60,
4.12.26,last_year,Bonuses,0,0,0,0,0.00,
4.12.26,last_year,Comp,0,2480,0,2480,1.15,
4.12.26,last_year,Salary,0,4724,,4724,2.20,
4.12.26,last_year,MGMT TOTAL,0,7204,0,7204,3.35,
4.12.26,report_week,Bonuses,0,0,0,0,0.00,
4.12.26,report_week,Comp,,1200,0,1200,0.78,
4.12.26,report_week,Salary,0,5275,,5275,3.43,
4.12.26,report_week,MGMT TOTAL,0,6475,0,6475,4.21,
4.19.26,last_year,Bonuses,0,0,0,0,0.00,
4.19.26,last_year,Comp,0,1128,0,1128,0.55,
4.19.26,last_year,Salary,0,4510,,4510,2.18,
4.19.26,last_year,MGMT TOTAL,0,5638,0,5638,2.72,
4.19.26,report_week,Bonuses,0,0,0,0,0.00,
4.19.26,report_week,Comp,,1200,0,1200,0.72,
4.19.26,report_week,Salary,0,5479,,5479,3.30,
4.19.26,report_week,MGMT TOTAL,0,6679,0,6679,4.02,
4.26.26,last_year,Bonuses,0,0,0,0,0.00,
4.26.26,last_year,Comp,0,1128,0,1128,0.47,
4.26.26,last_year,Salary,0,4670,,4670,1.95,
