week,period,total_net_sales,net_food_sales,third_line_label,third_line_value
2.1.26,last_year,168241,81231,Carry Out Sales,41735
2.1.26,report_week,128725,64210,Carry Out Sales,33450
2.8.26,last_year,197764,96971,Carry Out Sales,49165
2.8.26,report_week,137155,66748,Carry Out Sales,34296
2.15.26,last_year,190863,96971,Carry Out Sales,49165
2.15.26,report_week,141597,69771,Carry Out Sales,34296
2.22.26,last_year,219802,105388,Carry Out Sales,49165
2.22.26,report_week,150995,75879,Carry Out Sales,37128
3.1.26,last_year,245705,105388,Carry Out Sales,49165
3.1.26,report_week,167326,75879,Carry Out Sales,37128
3.8.26,last_year,159923,92509,Carry Out Sales,49165
3.8.26,report_week,203122,92759,Carry Out Sales,37128
3.15.26,last_year,158609,89466,3rd Party Orders,33704
3.15.26,report_week,127287,79413,3rd Party Orders,22661
3.22.26,last_year,225770,109014,3rd Party Orders,33704
3.22.26,report_week,113919,68764,3rd Party Orders,22661
3.29.26,last_year,231743,109014,3rd Party Orders,33704
3.29.26,report_week,172153,68764,3rd Party Orders,22661
4.5.26,last_year,200390,101417,3rd Party Orders,21711
4.5.26,report_week,139588,72486,3rd Party Orders,19775
4.12.26,last_year,215089,101417,3rd Party Orders,38953
4.12.26,report_week,153864,84302,3rd Party Orders,26564
4.19.26,last_year,206960,100713,3rd Party Orders,34312
4.19.26,report_week,166134,99155,3rd Party Orders,27741
4.26.26,last_year,239036,118279,3rd Party Orders,31945
4.26.26,report_week,183551,94594,3rd Party Orders,25196
5.3.26,last_year,271659,128925,3rd Party Orders,40220
5.3.26,report_week,183551,94594,3rd Party Orders,25196
5.17.26,last_year,182364,94060,3rd Party Orders,27038
5.17.26,report_week,145718,79843,3rd Party Orders,20562
6.7.26,last_year,174058,90436,3rd Party Orders,28464
6.7.26,report_week,120136,66944,3rd Party Orders,18641
6.14.26,last_year,188691,96082,3rd Party Orders,25490
6.14.26,report_week,153120,75201,3rd Party Orders,18383
6.21.26,last_year,194948,99216,3rd Party Orders,25295
6.21.26,report_week,152414,80267,3rd Party Orders,18473
6.28.26,last_year,179474,92931,3rd Party Orders,29245
6.28.26,report_week,138922,68054,3rd Party Orders,17906
7.05.26,last_year,142176,83066,3rd Party Orders,25157
7.05.26,report_week,100434,62094,3rd Party Orders,18731
7.12.26,last_year,168867,93298,3rd Party Orders,29303
7.12.26,report_week,133493,73469,3rd Party Orders,23505
7.19.26,last_year,186980,101004,3rd Party Orders,30454
7.19.26,report_week,132738,73469,3rd Party Orders,19756
7.26.26,last_year,175690,93688,3rd Party Orders,30224
7.26.26,report_week,155701,78446,3rd Party Orders,22082
8.2.26,last_year,158070,87074,3rd Party Orders,24659
8.2.26,report_week,117627,65718,3rd Party Orders,21644
8.9.26,last_year,175690,93688,3rd Party Orders,30224
8.9.26,report_week,155701,78446,3rd Party Orders,22082
8.16.26,last_year,188451,94359,3rd Party Orders,25910
8.16.26,report_week,129670,75079,3rd Party Orders,21612
