week,rw_net_sales,rw_total_labor_dollars,rw_total_labor_pct,rw_subtotal_hrs,ly_net_sales,ly_total_labor_dollars,ly_total_labor_pct,boh_salary_bug,rw_total_labor_pct_corrected
2.1.26,128725,36225,28.14,1488,168241,47027,27.95,no,
2.8.26,137155,38594,28.14,1528,197764,47813,24.18,no,
2.15.26,141597,39507,27.90,1663,190863,50193,26.30,no,
2.22.26,150995,39040,25.85,ERR,219802,46364,21.09,no,
3.1.26,167326,41309,24.69,1766,245705,50604,20.60,no,
3.8.26,203122,42830,21.09,1961,159923,47154,29.49,no,
3.15.26,127287,38540,30.28,1568,158609,49635,31.29,no,
3.22.26,113919,37810,33.19,1484,225770,52115,23.08,no,
3.29.26,172153,40650,23.61,1725,231743,50832,21.93,no,
4.5.26,139588,38413,27.52,1616,200390,51123,25.51,no,
4.12.26,153864,40504,26.32,1411,215089,52052,24.20,no,
4.19.26,166134,41958,25.26,1819,206960,50574,24.44,no,
4.26.26,183551,40122,21.86,2461,239036,49768,20.82,no,
5.3.26,183551,42076,22.92,2022,271659,54335,20.00,no,
5.17.26,145718,48059,32.98,2077,182364,52852,28.98,yes,29.79
6.7.26,120136,31387,26.13,1901,174058,50337,28.92,yes,35.38
6.14.26,153120,48841,31.90,2137,188691,52130,27.63,yes,28.97
6.21.26,152414,49389,32.40,2211,194948,52840,27.10,yes,28.76
6.28.26,138922,49217,35.43,2136,179474,52529,29.27,yes,30.9
7.05.26,100434,46093,45.89,1753,142176,50411,35.46,yes,41.57
7.12.26,133493,47705,35.74,1977,168867,48526,28.74,yes,31.96
7.19.26,132738,44680,33.66,1755,186980,48796,26.10,yes,29.86
7.26.26,155701,49621,31.87,2066,175690,49639,28.25,yes,29.08
8.2.26,117627,44489,37.82,1716,158070,50546,31.98,yes,35.52
8.9.26,155701,48325,31.04,2013,175690,49639,28.25,yes,28.25
8.16.26,129670,40847,31.50,1707,188451,50684,26.89,no,
