week	period	section	category	reg_hrs	reg_pay	ot_pay	total_pay	pct_sales	pct_food_sales
2.1.26	last_year	exec	BOH	725	11733	33	11766	6.99	14.48
2.1.26	last_year	exec	FOH	1168	7505	0	7505	4.46	
2.1.26	last_year	exec	Training	92	986	0	986	0.59	
2.1.26	last_year	exec	FOH Salary	0	8490	0	8490	5.05	
2.1.26	last_year	exec	BOH Salary	0	8895	0	8895	5.29	10.95
2.1.26	last_year	exec	OTHER	0	1548	0	1548	0.92	
2.1.26	last_year	exec	SUBTOTAL	1985	39156	33	39189	23.29	25.43
2.1.26	last_year	exec	PAYROLL TAX		7831	7	7838	4.66	
2.1.26	last_year	exec	TOTAL LABOR		46987	40	47027	27.95	
2.1.26	report_week	exec	BOH	532	8345	0	8345	6.48	13.00
2.1.26	report_week	exec	FOH	932	5814	77	5891	4.58	
2.1.26	report_week	exec	Training	24	348	35	383	0.30	
2.1.26	report_week	exec	FOH Salary	0	6978	0	6978	5.42	
2.1.26	report_week	exec	BOH Salary	0	8168	0	8168	6.35	12.72
2.1.26	report_week	exec	OTHER	0	422	0	422	0.33	
2.1.26	report_week	exec	SUBTOTAL	1488	30076	112	30188	23.45	25.72
2.1.26	report_week	exec	PAYROLL TAX		6015	22	6038	4.69	
2.1.26	report_week	exec	TOTAL LABOR		36091	134	36225	28.14	
2.1.26	last_year	boh	Cook	375	5894	0	5894	3.50	7.26
2.1.26	last_year	boh	Prep	173	3227	33	3261	1.94	4.01
2.1.26	last_year	boh	Dish	178	2612	0	2612	1.55	3.22
2.1.26	last_year	boh	Salary	0	8895	0	8895	5.29	10.95
2.1.26	last_year	boh	BOH TOTAL	725	20627	33	20661	12.28	25.43
2.1.26	report_week	boh	Cook	338	5346	0	5346	4.15	8.33
2.1.26	report_week	boh	Prep	114	2241	0	2241	1.74	3.49
2.1.26	report_week	boh	Dish	80	759	0	759	0.59	1.18
2.1.26	report_week	boh	Salary		8168		8168	6.35	12.72
2.1.26	report_week	boh	BOH TOTAL	532	16513	0	16513	12.83	25.72
2.1.26	last_year	foh	Security	43	946	0	946	0.56	
2.1.26	last_year	foh	Bar Back	133	857	0	857	0.51	
2.1.26	last_year	foh	Bartender	140	705	0	705	0.42	
2.1.26	last_year	foh	Crepe	0	0	0	0	0.00	
2.1.26	last_year	foh	Cafe	199	1195	0	1195	0.71	
2.1.26	last_year	foh	Hostess	107	642	0	642	0.38	
2.1.26	last_year	foh	Runner	43	233	0	233	0.14	
2.1.26	last_year	foh	Server	485	2597	0	2597	1.54	
2.1.26	last_year	foh	Training	92	986	0	986	0.59	
2.1.26	last_year	foh	Maintenance	17	331	0	331	0.20	
2.1.26	last_year	foh	COPS	0	1548		1548	0.25	
2.1.26	last_year	foh	FOH TOTAL	1260	10038	0	10038	5.97	
2.1.26	report_week	foh	Security	8	167		167	0.13	
2.1.26	report_week	foh	Bar Back	166	1054	0	1054	0.82	
2.1.26	report_week	foh	Bartender	158	867	131	998	0.78	
2.1.26	report_week	foh	Crepe	0	0	0	0	0.00	
2.1.26	report_week	foh	Cafe	155	928	0	928	0.72	
2.1.26	report_week	foh	Hostess	123	1029	0	1029	0.80	
2.1.26	report_week	foh	Runner	0	0	0	0	0.00	
2.1.26	report_week	foh	Server	322	1769	0	1769	1.37	
2.1.26	report_week	foh	Training	24	348	35	383	0.30	
2.1.26	report_week	foh	Maintenance	0	0	0	0	0.00	
2.1.26	report_week	foh	COPS	0	422	0	422	0.33	
2.1.26	report_week	foh	FOH TOTAL	956	6584	166	6751	5.24	
2.1.26	last_year	mgmt	Bonuses	0	0	0	0	0.00	
2.1.26	last_year	mgmt	Comp	0	2180	0	2180	1.30	
2.1.26	last_year	mgmt	Salary	0	6310		6310	3.75	
2.1.26	last_year	mgmt	MGMT TOTAL	0	8490	0	8490	5.05	
2.1.26	report_week	mgmt	Bonuses	0	0	0	0	0.00	
2.1.26	report_week	mgmt	Comp		1000	0	1000	0.78	
2.1.26	report_week	mgmt	Salary	0	5978		5978	4.64	
2.1.26	report_week	mgmt	MGMT TOTAL	0	6978	0	6978	5.42	
2.8.26	last_year	exec	BOH	694	11163	50	11213	5.67	11.56
2.8.26	last_year	exec	FOH	1333	8216	0	8216	4.15	
2.8.26	last_year	exec	Training	51	547	0	547	0.28	
2.8.26	last_year	exec	FOH Salary	0	7925	0	7925	4.01	
2.8.26	last_year	exec	BOH Salary	0	10395	0	10395	5.26	10.72
2.8.26	last_year	exec	OTHER	0	1548	0	1548	0.78	
2.8.26	last_year	exec	SUBTOTAL	2078	39794	50	39844	20.15	22.28
2.8.26	last_year	exec	PAYROLL TAX		7959	10	7969	4.03	
2.8.26	last_year	exec	TOTAL LABOR		47753	60	47813	24.18	
2.8.26	report_week	exec	BOH	552	8779	0	8779	6.40	13.15
2.8.26	report_week	exec	FOH	949	6637	77	6714	4.90	
2.8.26	report_week	exec	Training	27	298	35	333	0.24	
2.8.26	report_week	exec	FOH Salary	0	6688	0	6688	4.88	
2.8.26	report_week	exec	BOH Salary	0	8961	0	8961	6.53	13.43
2.8.26	report_week	exec	OTHER	0	687	0	687	0.50	
2.8.26	report_week	exec	SUBTOTAL	1528	32049	112	32161	23.45	26.58
2.8.26	report_week	exec	PAYROLL TAX		6410	22	6432	4.69	
2.8.26	report_week	exec	TOTAL LABOR		38459	134	38594	28.14	
2.8.26	last_year	boh	Cook	401	6387	0	6387	3.23	6.59
2.8.26	last_year	boh	Prep	158	2998	16	3014	1.52	3.11
2.8.26	last_year	boh	Dish	136	1778	34	1812	0.92	1.87
2.8.26	last_year	boh	Salary	0	10395	0	10395	5.26	10.72
2.8.26	last_year	boh	BOH TOTAL	694	21558	50	21608	10.93	22.28
2.8.26	report_week	boh	Cook	353	5676	0	5676	4.14	8.50
2.8.26	report_week	boh	Prep	120	2353	0	2353	1.72	3.52
2.8.26	report_week	boh	Dish	79	749	0	749	0.55	1.12
2.8.26	report_week	boh	Salary		8961		8961	6.53	13.43
2.8.26	report_week	boh	BOH TOTAL	552	17740	0	17740	12.93	26.58
2.8.26	last_year	foh	Security	28	593	0	593	0.30	
2.8.26	last_year	foh	Bar Back	174	1014	0	1014	0.51	
2.8.26	last_year	foh	Bartender	186	995	0	995	0.50	
2.8.26	last_year	foh	Crepe	0	0	0	0	0.00	
2.8.26	last_year	foh	Cafe	216	1294	0	1294	0.65	
2.8.26	last_year	foh	Hostess	135	811	0	811	0.41	
2.8.26	last_year	foh	Runner	39	209	0	209	0.11	
2.8.26	last_year	foh	Server	555	2969	0	2969	1.50	
2.8.26	last_year	foh	Training	51	547	0	547	0.28	
2.8.26	last_year	foh	Maintenance	0	331	0	331	0.17	
2.8.26	last_year	foh	COPS	0	1548		1548	0.35	
2.8.26	last_year	foh	FOH TOTAL	1384	10312	0	10312	5.21	
2.8.26	report_week	foh	Security	0	400		400	0.29	
2.8.26	report_week	foh	Bar Back	152	998	39	1037	0.76	
2.8.26	report_week	foh	Bartender	172	947	74	1021	0.74	
2.8.26	report_week	foh	Crepe	0	0	0	0	0.00	
2.8.26	report_week	foh	Cafe	140	842	0	842	0.61	
2.8.26	report_week	foh	Hostess	140	1556	0	1556	1.13	
2.8.26	report_week	foh	Runner	0	0	0	0	0.00	
2.8.26	report_week	foh	Server	344	1894	0	1894	1.38	
2.8.26	report_week	foh	Training	27	298	35	333	0.24	
2.8.26	report_week	foh	Maintenance	0	0	0	0	0.00	
2.8.26	report_week	foh	COPS	0	687	0	687	0.50	
2.8.26	report_week	foh	FOH TOTAL	976	7622	148	7770	5.67	
2.8.26	last_year	mgmt	Bonuses	0	0	0	0	0.00	
2.8.26	last_year	mgmt	Comp	0	1615	0	1615	0.82	
2.8.26	last_year	mgmt	Salary	0	6310		6310	3.19	
2.8.26	last_year	mgmt	MGMT TOTAL	0	7925	0	7925	4.01	
2.8.26	report_week	mgmt	Bonuses	0	0	0	0	0.00	
2.8.26	report_week	mgmt	Comp		800	0	800	0.58	
2.8.26	report_week	mgmt	Salary	0	5888		5888	4.29	
2.8.26	report_week	mgmt	MGMT TOTAL	0	6688	0	6688	4.88	
8.16.26	last_year	exec	BOH	727	10221	28	10249	5.44	10.86
8.16.26	last_year	exec	FOH	1396	8729	73	8802	4.67	
8.16.26	last_year	exec	Training	179	1917	0	1917	1.02	
8.16.26	last_year	exec	FOH Salary	0	7338	0	7338	3.89	
8.16.26	last_year	exec	BOH Salary	0	12383	0	12383	6.57	13.12
8.16.26	last_year	exec	OTHER	0	1548	0	1548	0.82	
8.16.26	last_year	exec	SUBTOTAL	2302	42136	101	42237	22.41	23.98
8.16.26	last_year	exec	PAYROLL TAX		8427	20	8447	4.48	
8.16.26	last_year	exec	TOTAL LABOR		50563	121	50684	26.89	
8.16.26	report_week	exec	BOH	651	11917	0	11917	9.19	15.87
8.16.26	report_week	exec	FOH	1033	6551	77	6628	5.11	
8.16.26	report_week	exec	Training	23	254	0	254	0.20	
8.16.26	report_week	exec	FOH Salary	0	5870	0	5870	4.53	
8.16.26	report_week	exec	BOH Salary	0	8518	0	8518	6.57	11.35
8.16.26	report_week	exec	OTHER	0	852	0	852	0.66	
8.16.26	report_week	exec	SUBTOTAL	1707	33962	77	34039	26.25	27.22
8.16.26	report_week	exec	PAYROLL TAX		6792	15	6808	5.25	
8.16.26	report_week	exec	TOTAL LABOR		40754	92	40847	31.50	
8.16.26	last_year	boh	Cook	464	6525	5	480	0.25	0.51
8.16.26	last_year	boh	Prep	81	1636	23	1659	0.88	1.76
8.16.26	last_year	boh	Expo	0	0	0	0	0.00	0.00
8.16.26	last_year	boh	Dish	182	2060	0	2060	1.09	2.18
8.16.26	last_year	boh	Salary	0	12383	0	12383	6.57	13.12
8.16.26	last_year	boh	BOH TOTAL	727	22604	28	16582	8.80	17.57
8.16.26	report_week	boh	Cook	424	7417	331	7748	5.98	10.32
8.16.26	report_week	boh	Prep	67	1306	0	1306	1.01	1.74
8.16.26	report_week	boh	Expo	80	1758	0	1758	1.36	2.34
8.16.26	report_week	boh	Dish	80	1436	53	1489	1.15	1.98
8.16.26	report_week	boh	Salary	0	8518	0	8518	6.57	11.35
8.16.26	report_week	boh	BOH TOTAL	651	20435	384	20819	16.06	27.73
8.16.26	last_year	foh	Security	45	940	0	940	0.50	
8.16.26	last_year	foh	Bar Back	161	923	24	947	0.50	
8.16.26	last_year	foh	Bartender	205	1031	1	1032	0.55	
8.16.26	last_year	foh	Crepe	0	300	0	300	0.16	
8.16.26	last_year	foh	Cafe	183	1065	48	1113	0.59	
8.16.26	last_year	foh	Hostess	164	984	0	984	0.52	
8.16.26	last_year	foh	Runner	29	156	0	156	0.08	
8.16.26	last_year	foh	Server	602	3220	0	3220	1.71	
8.16.26	last_year	foh	Training	179	1917	0	1917	1.02	
8.16.26	last_year	foh	Maintenance	7	110	0	110	0.06	
8.16.26	last_year	foh	COPS	0	1548		1548	0.45	
8.16.26	last_year	foh	FOH TOTAL	1575	12194	73	12267	6.51	
8.16.26	report_week	foh	Security	12	243	0	243	0.19	
8.16.26	report_week	foh	Bar Back	160	863	21	884	0.68	
8.16.26	report_week	foh	Bartender	170	933	0	933	0.72	
8.16.26	report_week	foh	Crepe	0	225	0	225	0.17	
8.16.26	report_week	foh	Cafe	171	1026	0	1026	0.79	
8.16.26	report_week	foh	Hostess	122	997	0	997	0.77	
8.16.26	report_week	foh	Runner	15	84	0	84	0.06	
8.16.26	report_week	foh	Server	378	2074	9	2083	1.61	
8.16.26	report_week	foh	Training	23	254	0	254	0.20	
8.16.26	report_week	foh	Maintenance	5	106	0	106	0.08	
8.16.26	report_week	foh	COPS	0	852	0	852	0.66	
8.16.26	report_week	foh	FOH TOTAL	1056	7657	30	7687	5.93	
8.16.26	last_year	mgmt	Bonuses	0	0	0	0	0.00	
8.16.26	last_year	mgmt	Comp	0	1128	0	1128	0.60	
8.16.26	last_year	mgmt	Salary	0	6210		6210	3.30	
8.16.26	last_year	mgmt	MGMT TOTAL	0	7338	0	7338	3.89	
8.16.26	report_week	mgmt	Bonuses	0	0	0	0	0.00	
8.16.26	report_week	mgmt	Comp		1200	0	1200	0.93	
8.16.26	report_week	mgmt	Salary	0	4670		4670	3.60	
8.16.26	report_week	mgmt	MGMT TOTAL	0	5870	0	5870	4.53	
2.15.26	last_year	exec	BOH	702	12122	65	12186	6.38	12.57
2.15.26	last_year	exec	FOH	1185	7346	77	7423	3.89	
2.15.26	last_year	exec	Training	53	565	0	565	0.30	
2.15.26	last_year	exec	FOH Salary	0	8710	0	8710	4.56	
2.15.26	last_year	exec	BOH Salary	0	11395	0	11395	5.97	11.75
2.15.26	last_year	exec	OTHER	0	1548	0	1548	0.81	
2.15.26	last_year	exec	SUBTOTAL	1940	41685	142	41827	21.91	24.32
2.15.26	last_year	exec	PAYROLL TAX		8337	28	8365	4.38	
2.15.26	last_year	exec	TOTAL LABOR		50023	170	50193	26.30	
2.15.26	report_week	exec	BOH	550	8690	0	8690	6.14	12.45
2.15.26	report_week	exec	FOH	971	6659	77	6736	4.76	
2.15.26	report_week	exec	Training	142	1561	0	1561	1.10	
2.15.26	report_week	exec	FOH Salary	0	6688	0	6688	4.72	
2.15.26	report_week	exec	BOH Salary	0	9248	0	9248	6.53	13.25
2.15.26	report_week	exec	OTHER	0	0	0	0	0.00	
2.15.26	report_week	exec	SUBTOTAL	1663	32845	77	32922	23.25	25.71
2.15.26	report_week	exec	PAYROLL TAX		6569	15	6584	4.65	
2.15.26	report_week	exec	TOTAL LABOR		39414	92	39507	27.90	
2.15.26	last_year	boh	Cook	389	6980	0	6980	3.66	7.20
2.15.26	last_year	boh	Prep	160	3037	64	3102	1.63	3.20
2.15.26	last_year	boh	Dish	153	2104	0	2104	1.10	2.17
2.15.26	last_year	boh	Salary	0	11395	0	11395	5.97	11.75
2.15.26	last_year	boh	BOH TOTAL	702	23516	65	23581	12.35	24.32
2.15.26	report_week	boh	Cook	350	5579	677	6256	4.42	8.97
2.15.26	report_week	boh	Prep	120	2351	19	2370	1.67	3.40
2.15.26	report_week	boh	Dish	80	760	56	816	0.58	1.17
2.15.26	report_week	boh	Salary		9248		9248	6.53	13.25
